code,semester,title,credits,recordTime,sectionId,quota,enrol,wait
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 02:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 04:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 07:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 06:30:00,T1,25,20,4
