,3.0,25,3,0
24224,3.0,59,59,46
9010,4.0,11,9,0
10858,4.0,12,10,0
24007,3.0,74,74,29
18393,4.0,12,10,0
23821,3.0,74,74,24
757,3.0,50,50,13
19114,4.0,1,1,0
9621,4.0,11,9,0
21172,3.0,140,140,29
7204,3.0,55,30,0
26702,3.0,40,40,14
4384,3.0,50,50,0
799,3.0,50,50,14
6981,3.0,80,52,0
29187,3.0,60,60,10
18426,4.0,12,10,0
7879,3.0,51,43,0
22702,3.0,135,135,60
5623,3.0,80,49,0
616,3.0,50,50,12
22182,3.0,67,67,14
23887,3.0,74,73,27
15115,4.0,12,10,0
23265,3.0,60,45,3
29845,3.0,60,60,20
14661,4.0,11,8,0
40,3.0,50,11,0
21519,3.0,67,67,9
22695,3.0,65,65,17
15976,4.0,18,18,0
27572,3.0,67,67,11
28411,3.0,65,65,21
2891,0.0,180,150,0
11943,4.0,12,12,0
4836,2.0,20,14,0
8739,3.0,55,43,0
20162,4.0,9,9,0
5654,3.0,80,49,0
26306,3.0,40,40,15
23054,3.0,70,70,44
19757,4.0,12,10,0
3922,3.0,60,55,0
8695,3.0,55,43,0
19012,4.0,18,18,0
31934,3.0,65,65,5
5519,3.0,80,49,0
13821,4.0,17,14,0
23485,3.0,74,74,13
3546,0.0,180,152,0
14128,4.0,18,18,0
5784,3.0,80,49,0
7485,3.0,46,43,0
24919,3.0,55,55,60
1356,3.0,25,25,12
12438,4.0,12,12,0
5772,3.0,80,49,0
25796,3.0,44,45,12
19842,4.0,11,8,0
25752,3.0,44,45,11
13710,4.0,18,18,0
23796,3.0,74,74,23
26105,3.0,40,40,22
999,3.0,25,25,8
17419,4.0,17,15,0
17188,4.0,17,15,0
22733,3.0,70,70,42
19672,4.0,18,18,0
29106,3.0,60,60,9
13320,4.0,9,9,0
26940,3.0,65,65,21
243,3.0,25,25,4
23670,3.0,74,74,22
21345,3.0,67,67,8
3646,3.0,60,39,0
30801,3.0,80,74,2
18948,4.0,17,15,0
14793,4.0,11,8,0
1185,3.0,25,25,10
23898,3.0,74,74,25
5943,3.0,80,50,0
31012,3.0,80,74,3
15219,4.0,17,15,0
10651,4.0,11,9,0
5429,3.0,80,49,0
30951,3.0,80,75,2
20723,3.0,73,73,16
32236,3.0,65,64,4
10355,4.0,11,9,0
22868,3.0,70,70,43
21365,3.0,73,73,30
27208,3.0,67,66,6
23139,3.0,65,65,18
20212,4.0,17,14,0
21169,3.0,140,140,29
20031,4.0,6,6,0
20547,4.0,9,9,0
9894,4.0,11,9,0
23941,3.0,74,74,28
27232,3.0,67,67,6
26680,3.0,40,40,14
27110,3.0,67,66,3
9245,4.0,11,9,0
6614,3.0,80,53,0
3715,3.0,60,48,0
27905,3.0,67,67,15
20955,3.0,67,67,6
6060,3.0,80,50,0
29481,3.0,60,60,16
21486,3.0,67,67,11
3267,0.0,180,152,0
13402,4.0,18,18,0
23732,3.0,74,74,22
8670,3.0,55,43,0
18097,4.0,2,2,0
17038,4.0,9,9,0
4696,2.0,20,14,0
23630,3.0,74,74,19
25605,3.0,45,45,4
19706,4.0,17,14,0
1035,3.0,25,25,8
4804,2.0,20,14,0
9368,4.0,11,9,0
28756,3.0,65,64,2
16005,4.0,6,6,0
21281,3.0,73,73,27
9373,4.0,11,9,0
24785,3.0,55,55,61
15985,4.0,2,2,0
19165,4.0,1,1,0
748,3.0,50,50,14
7483,3.0,46,43,0
23556,3.0,74,74,19
28434,3.0,65,65,22
19834,4.0,12,10,0
1345,3.0,50,50,15
2379,3.0,25,25,10
30263,3.0,60,60,19
26425,3.0,40,40,15
2547,3.0,25,25,7
2973,0.0,180,150,0
2725,0.0,180,151,0
4572,2.0,20,15,0
24455,3.0,59,59,49
1685,3.0,25,25,5
31097,3.0,80,74,3
18222,4.0,17,15,0
6311,3.0,80,52,0
8771,3.0,55,43,0
6531,3.0,80,53,0
4235,3.0,50,50,3
12716,4.0,6,6,0
26988,3.0,67,59,2
13734,4.0,17,15,0
20596,4.0,18,18,0
4149,3.0,60,55,2
13790,4.0,1,1,0
16510,4.0,9,9,0
27758,3.0,67,67,14
25649,3.0,45,45,5
16417,4.0,17,14,0
29956,3.0,60,60,18
8647,3.0,55,43,0
17075,4.0,1,1,0
31627,3.0,75,74,4
16726,4.0,17,15,0
27812,3.0,67,67,15
23120,3.0,70,70,44
20246,4.0,17,15,0
5825,3.0,80,49,0
4447,3.0,50,21,0
3755,3.0,60,54,0
1335,3.0,25,25,12
12443,4.0,2,2,0
8907,3.0,55,43,0
1352,3.0,25,25,3
21057,3.0,67,67,7
17229,4.0,1,1,0
4828,2.0,20,14,0
24896,3.0,55,55,60
5030,2.0,20,14,0
9192,4.0,11,9,0
22162,3.0,140,140,49
6278,3.0,80,52,0
28893,3.0,65,65,4
18071,4.0,11,8,0
15751,4.0,9,9,0
8464,3.0,55,44,0
20941,3.0,140,140,22
17814,4.0,17,14,0
10875,4.0,1,1,0
9436,4.0,11,9,0
25222,3.0,45,44,0
23523,3.0,74,74,14
27546,3.0,67,67,9
24069,3.0,74,74,28
25303,3.0,45,44,1
18202,4.0,12,12,0
441,3.0,25,25,8
2562,3.0,25,7,0
1064,3.0,25,25,7
20834,3.0,73,73,16
7032,3.0,80,52,0
11155,4.0,12,10,0
29404,3.0,60,60,15
26561,3.0,40,40,15
2754,0.0,180,151,0
31696,3.0,75,74,4
348,3.0,25,25,8
14062,4.0,18,18,0
22726,3.0,135,135,59
14653,4.0,12,10,0
25661,3.0,45,45,4
13302,4.0,1,1,0
2624,3.0,25,18,0
29939,3.0,60,60,17
18171,4.0,9,9,0
23933,3.0,74,74,29
3047,0.0,180,150,0
20404,4.0,9,9,0
1178,3.0,25,25,8
4728,2.0,20,15,0
27616,3.0,67,67,11
22164,3.0,67,67,14
10193,4.0,11,9,0
30699,3.0,80,74,2
11179,4.0,1,1,0
17932,4.0,2,2,0
11794,4.0,2,2,0
4916,2.0,20,13,0
27472,3.0,67,67,9
25523,3.0,45,45,1
25470,3.0,45,45,1
25265,3.0,45,44,0
18122,4.0,17,14,0
18360,4.0,12,10,0
31924,3.0,65,65,5
29225,3.0,60,60,9
20145,4.0,18,18,0
22684,3.0,135,135,60
8236,3.0,51,44,0
1998,3.0,25,25,13
15078,4.0,12,12,0
11237,4.0,17,15,0
2671,3.0,50,9,0
24290,3.0,59,59,47
1769,3.0,25,25,5
4143,3.0,60,54,2
1211,3.0,25,25,4
31286,3.0,75,75,4
14743,4.0,1,1,0
26855,3.0,40,40,13
9330,4.0,11,9,0
15613,4.0,18,18,0
2448,3.0,25,25,10
31876,3.0,65,65,8
11703,4.0,9,9,0
20911,3.0,140,140,22
4093,3.0,60,57,1
4709,2.0,20,14,0
6652,3.0,80,53,0
21895,3.0,140,140,47
19245,4.0,17,15,0
25554,3.0,45,45,1
30106,3.0,60,60,19
15366,4.0,9,9,0
16890,4.0,17,14,0
20487,4.0,17,14,0
26314,3.0,40,40,15
17008,4.0,2,2,0
13550,4.0,11,8,0
19577,4.0,12,12,0
7507,3.0,46,43,0
7494,3.0,46,43,0
11770,4.0,6,6,0
27725,3.0,67,66,15
25589,3.0,45,45,1
4999,2.0,20,13,0
31707,3.0,75,70,4
21474,3.0,67,67,11
2441,3.0,25,25,0
12609,4.0,1,1,0
30359,3.0,60,60,18
10112,4.0,11,9,0
1115,3.0,25,25,6
15460,4.0,17,14,0
3073,0.0,180,150,0
4570,2.0,20,14,0
27745,3.0,67,67,14
30667,3.0,80,74,2
15111,4.0,12,12,0
7972,3.0,51,43,0
7961,3.0,51,43,0
27657,3.0,67,67,11
23539,3.0,74,74,14
19673,4.0,17,14,0
16002,4.0,12,12,0
659,3.0,25,25,5
19571,4.0,2,2,0
9692,4.0,11,9,0
4579,2.0,20,15,0
11298,4.0,12,10,0
11855,4.0,12,12,0
1287,3.0,25,25,12
15638,4.0,1,1,0
1531,3.0,50,50,17
30253,3.0,60,60,19
28949,3.0,65,64,5
13727,4.0,9,9,0
7006,3.0,80,52,0
15187,4.0,1,1,0
1062,3.0,25,25,9
25306,3.0,45,44,1
9521,4.0,11,9,0
18484,4.0,18,18,0
25198,3.0,45,39,0
29518,3.0,60,60,17
8131,3.0,51,44,0
21206,3.0,73,73,27
16529,4.0,1,1,0
152,3.0,25,20,4
6025,3.0,80,50,0
9370,4.0,11,9,0
19574,4.0,17,14,0
174,3.0,25,25,4
20504,4.0,6,6,0
29783,3.0,60,60,19
26654,3.0,40,40,15
26436,3.0,40,40,14
12507,4.0,6,6,0
6835,3.0,80,52,0
9316,4.0,11,9,0
27721,3.0,67,67,15
17630,4.0,12,12,0
18696,4.0,1,1,0
14179,4.0,6,6,0
28208,3.0,65,65,21
14166,4.0,11,8,0
18486,4.0,17,15,0
13804,4.0,9,9,0
14549,4.0,1,1,0
20769,3.0,67,67,4
26584,3.0,40,40,15
18549,4.0,1,1,0
24476,3.0,55,55,57
23058,3.0,65,65,17
27759,3.0,67,67,14
12309,4.0,6,6,0
15526,4.0,17,14,0
10330,4.0,11,9,0
28817,3.0,65,64,2
20327,4.0,9,9,0
25277,3.0,45,44,0
4090,3.0,60,57,1
5000,2.0,20,13,0
12788,4.0,17,15,0
1496,3.0,25,25,3
14691,4.0,17,15,0
26818,3.0,40,40,14
28611,3.0,65,65,21
6760,3.0,80,55,0
953,3.0,25,25,4
20439,4.0,12,10,0
11782,4.0,12,10,0
13106,4.0,17,14,0
1470,3.0,25,25,13
17573,4.0,17,15,0
6885,3.0,80,52,0
2280,3.0,25,25,10
15922,4.0,17,14,0
30628,3.0,80,74,2
9452,4.0,11,9,0
23160,3.0,65,65,18
7151,3.0,80,53,0
12852,4.0,18,18,0
5190,2.0,20,16,0
9186,4.0,11,9,0
28556,3.0,65,65,21
15046,4.0,11,8,0
13556,4.0,18,18,0
21065,3.0,73,73,22
19959,4.0,17,14,0
22428,3.0,67,67,14
228,3.0,25,25,4
1164,3.0,25,25,10
15584,4.0,12,12,0
1074,3.0,25,25,9
11402,4.0,17,15,0
449,3.0,25,25,7
15433,4.0,6,6,0
1310,3.0,25,25,3
24633,3.0,55,55,59
21780,3.0,67,67,13
22080,3.0,67,67,14
10144,4.0,11,9,0
31275,3.0,75,75,4
28550,3.0,65,65,21
3792,3.0,60,56,0
16912,4.0,17,14,0
15471,4.0,17,14,0
8859,3.0,55,43,0
31389,3.0,75,75,4
10519,4.0,11,9,0
2082,3.0,25,25,13
2056,3.0,50,50,16
13966,4.0,1,1,0
11119,4.0,11,8,0
17572,4.0,17,14,0
773,3.0,25,25,6
1701,3.0,25,25,13
10513,4.0,11,9,0
11307,4.0,9,9,0
20853,3.0,67,67,4
4437,3.0,50,49,0
21261,3.0,67,67,7
13360,4.0,17,15,0
16879,4.0,17,14,0
11427,4.0,11,8,0
750,3.0,25,25,9
29795,3.0,60,60,19
2113,3.0,50,50,17
23325,3.0,74,74,7
3940,3.0,60,56,0
7436,3.0,46,43,0
5570,3.0,80,49,0
24240,3.0,59,59,46
3206,0.0,180,151,0
13560,4.0,12,12,0
25915,3.0,40,39,19
11595,4.0,12,10,0
23478,3.0,74,74,13
15055,4.0,1,1,0
18604,4.0,1,1,0
27683,3.0,67,67,14
20047,4.0,17,14,0
9734,4.0,11,9,0
9449,4.0,11,9,0
9117,4.0,11,9,0
4054,3.0,60,56,1
27079,3.0,67,66,2
2254,3.0,50,50,15
30113,3.0,60,60,19
3013,0.0,180,150,0
7416,3.0,46,43,0
20290,4.0,17,15,0
7814,3.0,46,43,0
6735,3.0,80,52,0
10813,4.0,6,6,0
9164,4.0,11,9,0
24898,3.0,55,55,60
24510,3.0,59,59,49
31519,3.0,75,75,4
21233,3.0,73,73,27
10986,4.0,12,12,0
12903,4.0,6,6,0
648,3.0,25,25,7
19513,4.0,9,9,0
26798,3.0,40,40,14
6942,3.0,80,52,0
8201,3.0,51,44,0
27377,3.0,67,67,6
